o,d,weight,o-point,d-point
1,237,156,POINT (1658181.49180534 2459853.293099572),POINT (1658015.2264154153 2465713.936414581)
1,238,162,POINT (1658181.49180534 2459853.293099572),POINT (1659237.6770195896 2450319.361272714)
1,239,57,POINT (1658181.49180534 2459853.293099572),POINT (1665893.7169083597 2456888.297269174)
1,241,200,POINT (1658181.49180534 2459853.293099572),POINT (1663033.5113679373 2462763.657443064)
1,243,247,POINT (1658181.49180534 2459853.293099572),POINT (1652982.0835045492 2461339.054587997)
1,245,21,POINT (1658181.49180534 2459853.293099572),POINT (1663200.6587958126 2456900.4238973428)
1,247,242,POINT (1658181.49180534 2459853.293099572),POINT (1651014.4505884089 2463543.52647532)
1,249,342,POINT (1658181.49180534 2459853.293099572),POINT (1655498.5262123905 2463526.6904588197)
1,251,297,POINT (1658181.49180534 2459853.293099572),POINT (1658888.097166014 2454720.170646499)
1,253,226,POINT (1658181.49180534 2459853.293099572),POINT (1661572.8156003258 2451042.2025684584)
1,255,206,POINT (1658181.49180534 2459853.293099572),POINT (1655141.446662283 2464260.4191442616)
1,257,267,POINT (1658181.49180534 2459853.293099572),POINT (1656038.4001581655 2464256.9730902943)
1,258,84,POINT (1658181.49180534 2459853.293099572),POINT (1657990.765618003 2454724.0156804267)
1,260,178,POINT (1658181.49180534 2459853.293099572),POINT (1658904.141910646 2462048.2323762076)
1,261,37,POINT (1658181.49180534 2459853.293099572),POINT (1660349.469880249 2466437.0070478376)
1,262,368,POINT (1658181.49180534 2459853.293099572),POINT (1654601.5934001908 2463530.1346375337)
1,266,342,POINT (1658181.49180534 2459853.293099572),POINT (1657633.4535639822 2455458.541818732)
1,269,114,POINT (1658181.49180534 2459853.293099572),POINT (1666791.5198381636 2456884.1783064534)
1,270,72,POINT (1658181.49180534 2459853.293099572),POINT (1651911.1479552016 2463540.236243488)
1,272,108,POINT (1658181.49180534 2459853.293099572),POINT (1664098.2863517583 2456896.4200628297)
1,277,247,POINT (1658181.49180534 2459853.293099572),POINT (1666433.8659059817 2457618.8885700395)
1,281,108,POINT (1658181.49180534 2459853.293099572),POINT (1652268.1007696895 2462806.581595513)
1,283,54,POINT (1658181.49180534 2459853.293099572),POINT (1664455.8518409375 2456161.7466911864)
1,284,367,POINT (1658181.49180534 2459853.293099572),POINT (1659070.7364965314 2456185.413328439)
1,285,66,POINT (1658181.49180534 2459853.293099572),POINT (1660135.1788322916 2450315.3350703213)
1,287,365,POINT (1658181.49180534 2459853.293099572),POINT (1655847.2794148256 2459130.084096792)
1,289,86,POINT (1658181.49180534 2459853.293099572),POINT (1663908.2788184455 2451764.8462831685)
1,290,54,POINT (1658181.49180534 2459853.293099572),POINT (1662668.282044009 2459834.38834606)
1,291,48,POINT (1658181.49180534 2459853.293099572),POINT (1661222.9793738052 2455443.0780158597)
1,292,337,POINT (1658181.49180534 2459853.293099572),POINT (1657832.4833502683 2464249.965456991)
1,293,126,POINT (1658181.49180534 2459853.293099572),POINT (1658912.3385725063 2465710.4094516)
1,294,202,POINT (1658181.49180534 2459853.293099572),POINT (1660690.754176871 2458377.2265354255)
1,295,313,POINT (1658181.49180534 2459853.293099572),POINT (1662136.0713205927 2462767.4461196037)
1,297,101,POINT (1658181.49180534 2459853.293099572),POINT (1660500.3413996487 2453246.871056325)
1,298,157,POINT (1658181.49180534 2459853.293099572),POINT (1659976.0320475493 2459845.8464780003)
1,300,49,POINT (1658181.49180534 2459853.293099572),POINT (1655664.5516759097 2457665.3451608275)
1,301,339,POINT (1658181.49180534 2459853.293099572),POINT (1652442.263521056 2460608.61915999)
1,303,76,POINT (1658181.49180534 2459853.293099572),POINT (1657824.2455496532 2460587.421128233)
1,304,14,POINT (1658181.49180534 2459853.293099572),POINT (1659269.5570450437 2464976.642876767)
1,305,290,POINT (1658181.49180534 2459853.293099572),POINT (1661048.1538644275 2457642.8077608766)
1,306,133,POINT (1658181.49180534 2459853.293099572),POINT (1662493.46881893 2462033.316389327)
1,307,299,POINT (1658181.49180534 2459853.293099572),POINT (1662660.579071721 2456169.7889907383)
1,311,270,POINT (1658181.49180534 2459853.293099572),POINT (1652807.9042362904 2463536.9075278984)
1,312,245,POINT (1658181.49180534 2459853.293099572),POINT (1662303.0897686537 2456904.3893593843)
1,315,287,POINT (1658181.49180534 2459853.293099572),POINT (1654053.2504292019 2459137.2197966864)
1,316,42,POINT (1658181.49180534 2459853.293099572),POINT (1663565.8158034487 2459830.4921081206)
1,317,288,POINT (1658181.49180534 2459853.293099572),POINT (1656561.6718655992 2457661.684868133)
1,318,309,POINT (1658181.49180534 2459853.293099572),POINT (1653339.1134326102 2460605.1822283003)
1,319,161,POINT (1658181.49180534 2459853.293099572),POINT (1661397.8666290352 2453242.8762872275)
1,320,160,POINT (1658181.49180534 2459853.293099572),POINT (1665711.2053193129 2455422.885635433)
1,321,159,POINT (1658181.49180534 2459853.293099572),POINT (1653521.9118158706 2462069.452329916)
1,323,270,POINT (1658181.49180534 2459853.293099572),POINT (1663740.7466312917 2457631.020914115)
1,332,66,POINT (1658181.49180534 2459853.293099572),POINT (1657109.830227178 2462055.459549107)
1,333,93,POINT (1658181.49180534 2459853.293099572),POINT (1655681.308230386 2464990.6658469574)
1,335,244,POINT (1658181.49180534 2459853.293099572),POINT (1657808.1178620358 2453258.62562017)
1,337,283,POINT (1658181.49180534 2459853.293099572),POINT (1661421.3535456923 2464235.4880353147)
1,338,329,POINT (1658181.49180534 2459853.293099572),POINT (1661056.0353274923 2461306.7221280206)
1,339,141,POINT (1658181.49180534 2459853.293099572),POINT (1662295.4504912612 2453238.843224489)
1,340,64,POINT (1658181.49180534 2459853.293099572),POINT (1654418.8032109183 2462066.011825512)
1,346,72,POINT (1658181.49180534 2459853.293099572),POINT (1654236.0222285208 2460601.706869768)
1,347,254,POINT (1658181.49180534 2459853.293099572),POINT (1657268.1404905948 2452527.7965930174)
1,348,129,POINT (1658181.49180534 2459853.293099572),POINT (1657458.850839091 2457657.986201712)
1,355,230,POINT (1658181.49180534 2459853.293099572),POINT (1656910.8275174564 2453262.4672331675)
1,356,23,POINT (1658181.49180534 2459853.293099572),POINT (1659452.278554183 2466440.5745548396)
1,357,339,POINT (1658181.49180534 2459853.293099572),POINT (1656204.4627746162 2458395.9207628625)
1,359,212,POINT (1658181.49180534 2459853.293099572),POINT (1659428.0990875603 2455450.886586648)
1,360,211,POINT (1658181.49180534 2459853.293099572),POINT (1658006.9567252127 2462051.8651961302)
1,362,290,POINT (1658181.49180534 2459853.293099572),POINT (1660675.234569206 2451046.26869498)
1,363,329,POINT (1658181.49180534 2459853.293099572),POINT (1662485.6812871923 2458369.4800756676)
1,364,373,POINT (1658181.49180534 2459853.293099572),POINT (1661040.388622987 2453977.6572270934)
1,367,218,POINT (1658181.49180534 2459853.293099572),POINT (1657649.749561368 2462785.8121804916)
1,372,212,POINT (1658181.49180534 2459853.293099572),POINT (1660317.755557599 2451781.194197096)
1,373,329,POINT (1658181.49180534 2459853.293099572),POINT (1660516.0295956251 2460576.3032455645)
1,376,87,POINT (1658181.49180534 2459853.293099572),POINT (1665171.0601406873 2454692.1823867806)
1,381,115,POINT (1658181.49180534 2459853.293099572),POINT (1662478.0101897833 2454704.4073069287)
1,382,169,POINT (1658181.49180534 2459853.293099572),POINT (1653513.3931460031 2458406.676628373)
1,385,194,POINT (1658181.49180534 2459853.293099572),POINT (1657101.6036138115 2458392.258700954)
1,386,243,POINT (1658181.49180534 2459853.293099572),POINT (1653878.9541661404 2461335.6158826496)
1,387,185,POINT (1658181.49180534 2459853.293099572),POINT (1661937.9343510042 2453973.6606956436)
1,388,203,POINT (1658181.49180534 2459853.293099572),POINT (1666251.3585536536 2456153.550951829)
1,390,41,POINT (1658181.49180534 2459853.293099572),POINT (1666068.8604466259 2454688.030753189)
1,398,181,POINT (1658181.49180534 2459853.293099572),POINT (1656927.1015693825 2460591.0502135903)
1,399,124,POINT (1658181.49180534 2459853.293099572),POINT (1652450.9389992873 2464270.5262787812)
1,401,325,POINT (1658181.49180534 2459853.293099572),POINT (1658348.10342234 2453989.4169811686)
1,403,129,POINT (1658181.49180534 2459853.293099572),POINT (1654958.6605614892 2462796.3700273978)
1,404,182,POINT (1658181.49180534 2459853.293099572),POINT (1661032.7393539161 2450311.2706369786)
1,405,74,POINT (1658181.49180534 2459853.293099572),POINT (1652093.9994590129 2465004.072464375)
1,407,153,POINT (1658181.49180534 2459853.293099572),POINT (1661778.699564124 2463501.5033349115)
1,408,330,POINT (1658181.49180534 2459853.293099572),POINT (1656221.1780990376 2465720.8747161366)
1,409,208,POINT (1658181.49180534 2459853.293099572),POINT (1660333.380239186 2459111.5727744536)
1,410,127,POINT (1658181.49180534 2459853.293099572),POINT (1658555.1458189916 2466444.1035016505)
1,411,314,POINT (1658181.49180534 2459853.293099572),POINT (1658364.1896160415 2461317.845671444)
1,412,164,POINT (1658181.49180534 2459853.293099572),POINT (1659809.5093483622 2465706.843944606)
1,414,272,POINT (1658181.49180534 2459853.293099572),POINT (1659777.7122191591 2451050.296574424)
1,417,340,POINT (1658181.49180534 2459853.293099572),POINT (1667149.1995502617 2456149.395537761)
1,423,124,POINT (1658181.49180534 2459853.293099572),POINT (1664280.8425726332 2458361.580011546)
1,426,51,POINT (1658181.49180534 2459853.293099572),POINT (1657625.4792180455 2451793.0533817736)
1,427,16,POINT (1658181.49180534 2459853.293099572),POINT (1651554.2208375433 2464273.818321054)
1,430,58,POINT (1658181.49180534 2459853.293099572),POINT (1659992.2267755892 2467170.7016893914)
1,431,29,POINT (1658181.49180534 2459853.293099572),POINT (1658546.8966649086 2462782.2159383167)
1,434,164,POINT (1658181.49180534 2459853.293099572),POINT (1661215.298428351 2451777.164615246)
1,435,227,POINT (1658181.49180534 2459853.293099572),POINT (1663025.7444812371 2459100.0050557037)
1,436,334,POINT (1658181.49180534 2459853.293099572),POINT (1659595.1312231226 2449584.363770795)
1,437,126,POINT (1658181.49180534 2459853.293099572),POINT (1661580.443979789 2454708.4056260986)
1,438,96,POINT (1658181.49180534 2459853.293099572),POINT (1658189.677146062 2463516.12696522)
1,439,336,POINT (1658181.49180534 2459853.293099572),POINT (1660857.807029394 2452512.0541112036)
1,440,18,POINT (1658181.49180534 2459853.293099572),POINT (1662676.1015708118 2463497.7511697374)
1,442,58,POINT (1658181.49180534 2459853.293099572),POINT (1656021.7483563945 2456931.073318973)
1,444,175,POINT (1658181.49180534 2459853.293099572),POINT (1658372.4068360399 2464980.206409157)
1,445,108,POINT (1658181.49180534 2459853.293099572),POINT (1660150.7401090832 2457646.6599411136)
1,446,282,POINT (1658181.49180534 2459853.293099572),POINT (1661596.04923765 2462037.103095866)
1,448,135,POINT (1658181.49180534 2459853.293099572),POINT (1663018.0941398512 2455435.116091568)
1,449,338,POINT (1658181.49180534 2459853.293099572),POINT (1656761.056262779 2466451.045722319)
1,451,268,POINT (1658181.49180534 2459853.293099572),POINT (1652633.786447382 2465734.288875808)
1,452,71,POINT (1658181.49180534 2459853.293099572),POINT (1659610.734213803 2456916.0555289485)
1,453,375,POINT (1658181.49180534 2459853.293099572),POINT (1656387.1863642065 2459860.586032225)
1,454,275,POINT (1658181.49180534 2459853.293099572),POINT (1657284.309716966 2459856.958776066)
1,455,124,POINT (1658181.49180534 2459853.293099572),POINT (1658729.6129757818 2464246.4038738087)
1,456,272,POINT (1658181.49180534 2459853.293099572),POINT (1660508.12744227 2456912.20517335)
1,457,33,POINT (1658181.49180534 2459853.293099572),POINT (1661953.4344260413 2461302.937366097)
1,459,16,POINT (1658181.49180534 2459853.293099572),POINT (1663923.3163075414 2459096.0723174345)
1,460,49,POINT (1658181.49180534 2459853.293099572),POINT (1656918.9066916034 2456927.376412558)
1,461,164,POINT (1658181.49180534 2459853.293099572),POINT (1653696.1690728809 2459871.237297887)
1,462,152,POINT (1658181.49180534 2459853.293099572),POINT (1652990.7383991429 2465000.778586257)
1,463,34,POINT (1658181.49180534 2459853.293099572),POINT (1661755.3704042083 2452508.022801591)
1,465,327,POINT (1658181.49180534 2459853.293099572),POINT (1657467.025024877 2461321.4766113907)
1,467,277,POINT (1658181.49180534 2459853.293099572),POINT (1666609.0259789359 2455418.732124283)
2,3,114,POINT (1659626.8012404467 2464242.803777061),POINT (1661405.5793056777 2456908.3164507747)
2,4,19,POINT (1659626.8012404467 2464242.803777061),POINT (1662850.8920629665 2461299.1141440207)
2,6,316,POINT (1659626.8012404467 2464242.803777061),POINT (1657998.8032089756 2458388.5582491476)
2,7,335,POINT (1659626.8012404467 2464242.803777061),POINT (1654775.8836842796 2461332.1387342606)
2,8,196,POINT (1659626.8012404467 2464242.803777061),POINT (1662835.5386839854 2453969.625854419)
2,10,198,POINT (1659626.8012404467 2464242.803777061),POINT (1664813.4431026443 2455427.000799174)
2,11,133,POINT (1659626.8012404467 2464242.803777061),POINT (1652625.079284857 2462072.854377043)
2,13,296,POINT (1659626.8012404467 2464242.803777061),POINT (1654410.3575054067 2458403.129724644)
2,14,250,POINT (1659626.8012404467 2464242.803777061),POINT (1663375.6349768592 2454700.3706618594)
2,18,325,POINT (1659626.8012404467 2464242.803777061),POINT (1656212.7624518936 2462059.015437049)
2,20,346,POINT (1659626.8012404467 2464242.803777061),POINT (1659245.4731233052 2453985.5353680085)
2,25,43,POINT (1659626.8012404467 2464242.803777061),POINT (1663733.2015865543 2453965.552701606)
2,26,76,POINT (1659626.8012404467 2464242.803777061),POINT (1654767.490305334 2457668.9670817074)
2,27,316,POINT (1659626.8012404467 2464242.803777061),POINT (1655855.6314743143 2462792.889223109)
2,30,110,POINT (1659626.8012404467 2464242.803777061),POINT (1660341.366815212 2462774.908002726)
2,31,340,POINT (1659626.8012404467 2464242.803777061),POINT (1658896.061524773 2458384.8194055464)
2,32,186,POINT (1659626.8012404467 2464242.803777061),POINT (1657118.1729124698 2465717.4248354533)
2,35,100,POINT (1659626.8012404467 2464242.803777061),POINT (1658340.2339511355 2450323.349246)
2,36,176,POINT (1659626.8012404467 2464242.803777061),POINT (1661413.4081947834 2460572.520402873)
2,37,241,POINT (1659626.8012404467 2464242.803777061),POINT (1659602.874838458 2453250.827533613)
2,41,318,POINT (1659626.8012404467 2464242.803777061),POINT (1657982.843703622 2451058.2375994315)
2,44,122,POINT (1659626.8012404467 2464242.803777061),POINT (1656935.4123992766 2464253.4885285133)
2,46,23,POINT (1659626.8012404467 2464242.803777061),POINT (1660325.5099030244 2455447.001469521)
2,47,317,POINT (1659626.8012404467 2464242.803777061),POINT (1661770.8068079464 2459838.2461524634)
2,50,121,POINT (1659626.8012404467 2464242.803777061),POINT (1654427.3646821268 2465727.658864678)
2,54,59,POINT (1659626.8012404467 2464242.803777061),POINT (1659444.1024279813 2462778.5812130263)
2,55,17,POINT (1659626.8012404467 2464242.803777061),POINT (1662112.8999523178 2451773.0967701864)
2,56,150,POINT (1659626.8012404467 2464242.803777061),POINT (1661588.1884424435 2458373.3725051763)
2,57,269,POINT (1659626.8012404467 2464242.803777061),POINT (1660142.901535302 2453981.615450602)
2,58,38,POINT (1659626.8012404467 2464242.803777061),POINT (1658197.9787806557 2467177.72502701)
2,60,42,POINT (1659626.8012404467 2464242.803777061),POINT (1656752.6611527195 2462789.3699414493)
2,61,111,POINT (1659626.8012404467 2464242.803777061),POINT (1659420.271375408 2451785.1855175663)
2,70,370,POINT (1659626.8012404467 2464242.803777061),POINT (1658165.4690105577 2452523.9183823587)
2,71,149,POINT (1659626.8012404467 2464242.803777061),POINT (1664273.3183056274 2454696.295689075)
2,74,345,POINT (1659626.8012404467 2464242.803777061),POINT (1663915.7393643525 2455431.0776172876)
2,76,54,POINT (1659626.8012404467 2464242.803777061),POINT (1658173.422509744 2456189.223535813)
2,80,202,POINT (1659626.8012404467 2464242.803777061),POINT (1661786.7090224046 2467163.5240463307)
2,81,330,POINT (1659626.8012404467 2464242.803777061),POINT (1654950.2355049697 2459133.6711468953)
2,82,130,POINT (1659626.8012404467 2464242.803777061),POINT (1663010.56009414 2451768.9906600956)
2,84,169,POINT (1659626.8012404467 2464242.803777061),POINT (1657816.123803127 2456923.6411466766)
2,85,92,POINT (1659626.8012404467 2464242.803777061),POINT (1654593.1160068512 2459867.725291204)
2,86,226,POINT (1659626.8012404467 2464242.803777061),POINT (1662652.9924043706 2452503.9532126375)
2,87,190,POINT (1659626.8012404467 2464242.803777061),POINT (1665353.5759720677 2456157.6680023796)
2,96,18,POINT (1659626.8012404467 2464242.803777061),POINT (1656030.0163322194 2460594.640864351)
2,97,74,POINT (1659626.8012404467 2464242.803777061),POINT (1653887.5361979557 2464997.446191963)
